content,source,cleaned,t,sentiment_score,sentiment
Ntar loe ye..,instagram,ntar loe ye,"['entar', 'lo', 'ye']",0,neutral
Spill gaji dan tunjangan pegawai Kemenkeu dong?,instagram,spill gaji dan tunjangan pegawai kemenkeu dong,"['spill', 'gaji', 'dan', 'tunjangan', 'pegawai', 'kemenkeu', 'dong']",0,neutral
Best,instagram,best,['best'],0,neutral
Keren bangett,instagram,keren bangett,"['keren', 'banget']",0,neutral
Selamattt,instagram,selamattt,['selamattt'],0,neutral
@na_zundaro waahhh,instagram,nazundaro waahhh,"['nazundaro', 'waahhh']",0,neutral
Done min,instagram,done min,"['done', 'min']",0,neutral
KAPAN PENYULUHAN KAPAN SURVEYNYA,instagram,kapan penyuluhan kapan surveynya,"['kapan', 'penyuluhan', 'kapan', 'surveynya']",0,neutral
Cara dapetin nomer EFIN gimana gaes,instagram,cara dapetin nomer efin gimana gaes,"['cara', 'mendapatkan', 'nomer', 'efin', 'bagaimana', 'gaes']",0,neutral
Semoga mendapatkan hidayah..aamiin,instagram,semoga mendapatkan hidayahaamiin,"['semoga', 'mendapatkan', 'hidayahaamiin']",0,neutral
"Temennya polri, bea cukai, dpr ri.",instagram,temennya polri bea cukai dpr ri,"['temannya', 'polri', 'bea', 'cukai', 'dpr', 'ri']",0,neutral
Kemenkeu gada bedanya waktu penjajahan belanda,instagram,kemenkeu gada bedanya waktu penjajahan belanda,"['kemenkeu', 'tidak ada', 'bedanya', 'waktu', 'penjajahan', 'belanda']",0,neutral
Mbingungi,instagram,mbingungi,['mbingungi'],0,neutral
kwkwkwkwkwkwkkwkw,instagram,kwkwkwkwkwkwkkwkw,['kwkwkwkwkwkwkkwkw'],0,neutral
Ngewriiii @vibratorianosav wgwgwgw,instagram,ngewriiii vibratorianosav wgwgwgw,"['ngewriiii', 'vibratorianosav', 'wgwgwgw']",0,neutral
"Cortex 1,2T masa gtu",instagram,cortex t masa gtu,"['cortex', '12t', 'masa', 'begitu']",0,neutral
siipp,instagram,siipp,['sip'],0,neutral
tetap waspada,instagram,tetap waspada,"['tetap', 'waspada']",0,neutral
"Semoga Alloh menjaga semuanya, Yuk waspada!!",instagram,semoga alloh menjaga semuanya yuk waspada,"['semoga', 'allah', 'menjaga', 'semuanya', 'yuk', 'waspada']",0,neutral
